review,actual,predicted,probability_not_recommended,probability_recommended,actual_label,predicted_label
Messi the goat,0,1,0.24703091108535447,0.7529690889146455,Not recommended,Recommended
meh,0,1,0.2506154964813855,0.7493845035186145,Not recommended,Recommended
meh,0,1,0.2506154964813855,0.7493845035186145,Not recommended,Recommended
WEIRD,0,1,0.2659610769525591,0.7340389230474409,Not recommended,Recommended
its ♥♥♥♥♥♥♥♥,0,1,0.2726541768633052,0.7273458231366948,Not recommended,Recommended
"eh, its aight",0,1,0.2730174767969985,0.7269825232030015,Not recommended,Recommended
tallbirds. racist walrus...,0,1,0.27354572000620747,0.7264542799937925,Not recommended,Recommended
Being a ghost is 50% of my playtime.,0,1,0.2957995729236246,0.7042004270763754,Not recommended,Recommended
i cant recommend this game to most people but if your friends aren't neurotypical its good,0,1,0.29907693117189815,0.7009230688281018,Not recommended,Recommended
more like let's starve together at night. wtf is this game,0,1,0.30293146526092474,0.6970685347390753,Not recommended,Recommended
great game why isnt cross platform seems greedy these days,0,1,0.3106902932300405,0.6893097067699595,Not recommended,Recommended
♥♥♥♥♥,0,1,0.3111104303591038,0.6888895696408962,Not recommended,Recommended
.,0,1,0.3111104303591038,0.6888895696408962,Not recommended,Recommended
"I’ve tried to get into Don't Starve several times, both single- and multiplayer. Every time I end up dropping it after a short while. I really like the unique art style, personality and weird spooky vibes the game has.. but the gameplay just isn’t that fun.",0,1,0.3326019211936051,0.6673980788063949,Not recommended,Recommended
Difficulty slop,0,1,0.3443188268103943,0.6556811731896057,Not recommended,Recommended
"toxic player community, broken gameplay, buggy physics",0,1,0.3455989886587211,0.6544010113412789,Not recommended,Recommended
Didn't have fun. Maybe it's only interesting with friends. I liked the aesthetic and vibe but I could just watch the neat character introduction videos on youtube.,0,1,0.34637393878739065,0.6536260612126094,Not recommended,Recommended
I couldn't refund so Im gonna be a ♥♥♥♥ and give this game a thumbs down,0,1,0.3963422904042466,0.6036577095957534,Not recommended,Recommended
if this game didnt exist nothing would be lost from the world,0,1,0.45288911102191576,0.5471108889780842,Not recommended,Recommended
This game is fun but boring without friends,0,1,0.45644219117369755,0.5435578088263024,Not recommended,Recommended
"""Dedicated Server Failed To Start"". I have five hours in this game, spend mostly on repairing it. ♥♥♥♥ this game.",0,1,0.46124686653045377,0.5387531334695462,Not recommended,Recommended
"Alright, my review. Ignore that I have 1 teeny tiny bit extra hour on the game. I've reached 4000 hours on this game, and I'm here to say a thing. This was one of my favorite games I've played from 7 years old to now. (I'm still a kid, atleast still.) There are so many cool mechanics within this game with great concepts that require a nice lot of thinking to solve, but that also cracks open a problem. The people who just started this game. I know, Tencent (And yes I'll refer to the dev as Tencent not Klei because from my knowledge many of the devs from Klei have gone working on other games) wants to create TEAMWORK by making the game more and more vague to starters, but that's not my only problem. I've had many good memories with the game, but after 2025 started almost everything went down hill with the game. The artstyle change, instead of the creepy moody and dark brown/yellow colors on almost everything we have a game filled with generators wires machines technologies in a way that fits nothing like the game should be. Other than that some of my friends have attempted coding. Not only is the app used for making sprites bad, not only is the coding bad, but the amount of work also put into each single mod. The modding in this game is VERY easy to navigate, but on one hand I have to deal with having one of my mods glitching and corrupting my server every week. This is a fun game if you have friends, but the game wants to smash everyone's head open that multiplayer is mandatory. It is a fun game if you have alot of friends, but even then getting reduced to using 10 mods is unbearable as hell. So many good flashbacks in 2024 and anything before it, and such a terrible experience in 2025. I hope you can have fun in this ""dark creepy survival game"" but I hated all the stuff I needed to experience just to play the game. I don't often play survival in DST, and I usually use big mods for creating a whole town. I had the best creative server at some point, I can't have it anymore because the game prevents me (and almost anyone else) from playing the game the way they want. You can get the game for yourself but it might not be fun at all even with the many content it has to offer. Thanks for reading, Bye! And also remember the devs barely listen to the players anymore, Or Tencent or whoever you call them. Forgot to mention! Tencent added a setting for every lunar mob that appears in the main land. All except for the Deadly Brightshade. You know, 80% of the lunar side's problem",0,1,0.477177670768101,0.522822329231899,Not recommended,Recommended
Patachie patchie wheres my patchie devs spent money on prostitute snatchie game so buggy crashy and laggy,0,1,0.48253051956802495,0.517469480431975,Not recommended,Recommended
this game is about as exciting as nipple cancer,0,1,0.48355076096913485,0.5164492390308651,Not recommended,Recommended
i still didn't get how to play normally here. keepin dying non stop,0,1,0.48961537031916047,0.5103846296808395,Not recommended,Recommended
My favourite gameplay feature is the exit game button.,0,1,0.49136531953792706,0.5086346804620729,Not recommended,Recommended
this ♥♥♥♥ definitely sucks major ass,0,1,0.4927636815006545,0.5072363184993455,Not recommended,Recommended
