review,actual,predicted,probability_not_recommended,probability_recommended,actual_label,predicted_label
"Honestly, I do not like this game because you do not have 1 minute in this game where you can chill. Chilling and careless exploration equals death in this game. I give it a positive review because, even tho this is not a game I enjoy, the game it self is well made and interesting for people who love those type of games.",1,0,0.8776588145570556,0.12234118544294438,Recommended,Not recommended
"played with my gf. Found a big ass bird sitting on an egg. walked near him and proceeded to pluck me to death immediately. Reset world. Found some giant cows and spent half my time collecting their poop. No clue what I need it for but apparently i need it for farming after clicking through the AD filled fandom.com wiki, a 13 year old kid's 23 minute youtube video explaining what a Digamajig is, and almost dying of hunger. still dont know how to farm after making the plot and breaking 2 hoes trying to plow it Got chased by wet lizard people across the whole map while running through the night and day. Died. Reset world. Eventually made a base and thought I was finally getting somewhere. Then a bunch of bats just decided to keep on attacking us each night draining our resources. Still don't know how to heal. im insane, hungry, i cant even see my health in the healthbar frantically picking flowers because supposedly thats supposed to help with sanity Fine, ill ask for help on a public server, first server is a chinese locked room promoting their cheat client or smth, 9/10 servers are in chinese and on day 6000. everyone is talking in abbreviations and most worlds are anarchy 10/10. Absolute wikislop masochist simulator. I have no idea what I'm doing, girlfriend got bored and pissy, would NOT play again",1,0,0.8038597473484674,0.1961402526515325,Recommended,Not recommended
"Good for one or several evening runs with friends, and not for long. One thing, what I don't like in the game is that the game has spammed the inventory profile with cosmetics that can't be deleted, why each start of game it force me to open dummy chest with random cosmetic and why it stores not only in the game but also in steam inventory. Another thing, either I didn't find mod in steam workshop that improves map or the game lacks this feature - joint map reveal, it doesn't make sense that areas that were visited by any of your friends are not visible for me. Neverheless, with friends will it can be either peaceful or challanging game.",1,0,0.8011627090927578,0.19883729090724217,Recommended,Not recommended
what the ♥♥♥♥ do i even do,1,0,0.7955817907508285,0.20441820924917156,Recommended,Not recommended
---{ Graphics }--- ☐ You forget what reality is ☐ Beautiful ☑ Good ☐ Decent ☐ Bad ☐ Don‘t look too long at it ☐ MS-DOS ---{ Gameplay }--- ☐ Very good ☑ Good ☐ It's just gameplay ☐ Mehh ☐ Watch paint dry instead ☐ Just don't ---{ Audio }--- ☐ Eargasm ☑ Very good ☐ Good ☐ Not too bad ☐ Bad ☐ I'm now deaf ---{ Audience }--- ☐ Kids ☑ Teens ☑ Adults ☐ Grandma ---{ PC Requirements }--- ☐ Check if you can run paint ☑ Potato ☑ Decent ☐ Fast ☐ Rich boi ☐ Ask NASA if they have a spare computer ---{ Game Size }--- ☐ Floppy Disk ☑ Old Fashioned ☐ Workable ☐ Big ☐ Will eat 15% of your 1TB hard drive ☐ You will want an entire hard drive to hold it ☐ You will need to invest in a black hole to hold all the data ---{ Difficulty }--- ☐ Just press 'W' ☐ Easy ☐ Easy to learn / Hard to master ☑ Significant brain usage ☑ Difficult ☐ Dark Souls ---{ Grind }--- ☐ Nothing to grind ☐ Only if u care about leaderboards/ranks ☐ Isn't necessary to progress ☑ Average grind level ☐ Too much grind ☐ You'll need a second life for grinding ---{ Story }--- ☐ No Story ☐ Some lore ☐ Average ☐ Good ☑ Lovely ☐ It'll replace your life ---{ Game Time }--- ☐ Long enough for a cup of coffee ☐ Short ☐ Average ☑ Long ☐ To infinity and beyond ---{ Price }--- ☐ It's free! ☑ Worth the price ☐ If it's on sale ☐ If u have some spare money left ☐ Not recommended ☐ You could also just burn your money ---{ Bugs }--- ☑ Never heard of ☐ Minor bugs ☐ Can get annoying ☐ ARK: Survival Evolved ☐ The game itself is a big terrarium for bugs ---{ ? / 10 }--- ☐ 1 ☐ 2 ☐ 3 ☐ 4 ☐ 5 ☐ 6 ☐ 7 ☐ 8 ☐ 9 ☐ 10 ☐ 11 ☐ 12 ☐ 1525 ☑ 73848237402730,1,0,0.7835661686332942,0.21643383136670583,Recommended,Not recommended
"alright so this game. the thing that really grabbed me was the whole lore behind the shadow vs moon conflict. you get to pick a side which is kinda neat. the game itself. it's basically a reskin of like five other games. seriously, it just felt like a bunch of stuff copied and pasted from other popular titles. they didn't really try to do anything new or original with the gameplay. it's just very generic. they tried to make it look cool with the graphics but even that falls kinda flat. it's like a lot of flash but not much substance. like it looks okay on the surface but then you see all the recycled parts and it just kinda loses its appeal. the story felt very short too. it was like bam, done, over. i wish there was more to it because the core idea of the shadow and moon sides had potential. but they just didn't do enough with it. if you're looking for something that just rehashes old ideas with a quick story, then maybe? otherwise, it's a bit of a pass.",1,0,0.78016943865113,0.21983056134886997,Recommended,Not recommended
I hate this game,1,0,0.7599381423994623,0.2400618576005377,Recommended,Not recommended
"My friend gifted me this game, I have no clue what the ♥♥♥♥ I doing, I just wandering around like the meme John Travolta from Pulp Fiction confused of what to do first, the amount of times I'm dying to the wildest of things, as he over there getting a kick outta of it laughing his ass off at me, he carrying me we only made it to day 3 that as far as we made it how sad. I dont know how we gonna beat this. It fun with friends for sure, it not something you play by yourself imo. Thanks Crown ma goated friend for the game, I look forward to playing more with you 💜",1,0,0.7138974559552824,0.2861025440447176,Recommended,Not recommended
"lock in and crossplay this bad boy, let them unite,",1,0,0.7099988303459104,0.29000116965408956,Recommended,Not recommended
nothing special only stuf what piple can lurn is how thay need to survival.and thet is can yuse in dificult game same like this one no chit no stiling only lurn how to survival.,1,0,0.7098241971688353,0.2901758028311648,Recommended,Not recommended
"Fun game. I am a purest when it comes to mods, and in my opinion a game typically isn't worth playing if mods improve it substantially, this is one of those games that I make an exception for (the only other being Space Engineers). You're likely going to feel an urge to google something every 2 minutes for the first 3 or so hours, so I recommend a few mods to reduce the urge to do that. Armor values and health bars are a must for me, and provide a confidence boost for what can be an otherwise discouraging take on combat outcomes (there is no way of knowing how weapons and armor compare to each other as far as i can tell). I think a lot of the people with major play time in this game assume you will use mods.",1,0,0.7059465326358512,0.2940534673641489,Recommended,Not recommended
"If you enjoy getting your rectum sized up thrice while also trying to save the silly pumpkin-dog that you've become irrationally attached to, then this game is for you!!",1,0,0.7052234247710365,0.2947765752289635,Recommended,Not recommended
"GOD THIS GAME IS SO WORTH IT, I PLAYED WITH A STREAMER AND GOT 10K HEALING IN THAT ONE MODE WHERE YOU HAVE TO KEEP THE LIGHTS ON AND WHEN IT WAS MY TURN TO KEEP THE LIGHTS ON I DID SUPER WELL, BY THE WAY BASE GAME IS SO INSANELY DIFFICULT I CANT EVEN MAKE IT A FULL YEAR, I HAVENT EVEN SEEN CHESTER ONCE :( OH AND MY PC RUNS RAFT AT 3FPS SO YOU CAN PLAY TOO",1,0,0.7043872473101037,0.2956127526898963,Recommended,Not recommended
what the dont,1,0,0.7037293532175679,0.2962706467824321,Recommended,Not recommended
I spend too much time in this,1,0,0.6942850838823367,0.3057149161176634,Recommended,Not recommended
After the 2nd ... no the 5th ... no the 10th try we managed to don't starve ... for a while,1,0,0.6866537463429538,0.31334625365704616,Recommended,Not recommended
Simulator of to be or not to be...,1,0,0.6855477635242989,0.3144522364757011,Recommended,Not recommended
ts is not ts,1,0,0.6842452913818704,0.3157547086181296,Recommended,Not recommended
"One of those games that I can actually deem ""Too difficult"" for me to learn. I already struggle with survival games, this is that on steroids. Though I still enjoy watching others play the game. Still leaving it a positive review because it deserves it. The game gets constant updates, and the community clearly still cares greatly for it. It's just not for me personally.",1,0,0.6814917121577659,0.318508287842234,Recommended,Not recommended
KLEI CADE A ARVORE DE TALENTOS DO MAXUUUUUUEEEEEELLLLL,1,0,0.67742315392652,0.32257684607348003,Recommended,Not recommended
